t,X0,Y0,Z0,X'0,Y'0,Z'0
1.860000,0.360060,-0.932930,0.000000,3.991376,1.540450,0.000000
1.870000,0.399464,-0.916750,0.000000,3.887990,1.694149,0.000000
1.880000,0.437791,-0.899077,0.000000,3.776110,1.838714,0.000000
1.890000,0.474961,-0.880008,0.000000,3.656611,1.973557,0.000000
1.900000,0.510901,-0.859640,0.000000,3.530402,2.098185,0.000000
1.910000,0.545550,-0.838079,0.000000,3.398418,2.212206,0.000000
1.920000,0.578853,-0.815433,0.000000,3.261603,2.315321,0.000000
1.930000,0.610769,-0.791810,0.000000,3.120904,2.407332,0.000000
1.940000,0.641262,-0.767323,0.000000,2.977259,2.488130,0.000000
1.950000,0.670307,-0.742085,0.000000,2.831583,2.557698,0.000000
1.960000,0.697889,-0.716207,0.000000,2.684766,2.616100,0.000000
1.970000,0.724001,-0.689800,0.000000,2.537659,2.663480,0.000000
1.980000,0.748644,-0.662973,0.000000,2.391072,2.700052,0.000000
1.990000,0.771827,-0.635834,0.000000,2.245764,2.726091,0.000000
2.000000,0.793566,-0.608485,0.000000,2.102442,2.741932,0.000000
2.010000,0.813885,-0.581028,0.000000,1.961752,2.747957,0.000000
2.020000,0.832812,-0.553557,0.000000,1.824286,2.744586,0.000000
2.030000,0.850383,-0.526166,0.000000,1.690569,2.732275,0.000000
2.040000,0.866637,-0.498940,0.000000,1.561067,2.711503,0.000000
2.050000,0.881620,-0.471962,0.000000,1.436183,2.682769,0.000000
2.060000,0.895378,-0.445310,0.000000,1.316260,2.646583,0.000000
2.070000,0.907962,-0.419054,0.000000,1.201582,2.603461,0.000000
2.080000,0.919428,-0.393262,0.000000,1.092374,2.553916,0.000000
2.090000,0.929829,-0.367995,0.000000,0.988808,2.498459,0.000000
2.100000,0.939223,-0.343311,0.000000,0.891004,2.437588,0.000000
2.110000,0.947668,-0.319260,0.000000,0.799034,2.371791,0.000000
2.120000,0.955223,-0.295890,0.000000,0.712924,2.301535,0.000000
2.130000,0.961946,-0.273243,0.000000,0.632661,2.227269,0.000000
2.140000,0.967896,-0.251356,0.000000,0.558191,2.149419,0.000000
2.150000,0.973129,-0.230265,0.000000,0.489429,2.068387,0.000000
2.160000,0.977703,-0.209998,0.000000,0.426256,1.984549,0.000000
2.170000,0.981672,-0.190582,0.000000,0.368529,1.898255,0.000000
2.180000,0.985091,-0.172040,0.000000,0.316076,1.809831,0.000000
2.190000,0.988011,-0.154391,0.000000,0.268710,1.719571,0.000000
2.200000,0.990481,-0.137654,0.000000,0.226220,1.627746,0.000000
2.210000,0.992551,-0.121841,0.000000,0.188382,1.534601,0.000000
2.220000,0.994264,-0.106965,0.000000,0.154958,1.440353,0.000000
2.230000,0.995664,-0.093037,0.000000,0.125699,1.345196,0.000000
2.240000,0.996791,-0.080064,0.000000,0.100347,1.249301,0.000000
2.250000,0.997683,-0.068053,0.000000,0.078636,1.152815,0.000000
2.260000,0.998375,-0.057009,0.000000,0.060293,1.055865,0.000000
2.270000,0.998899,-0.046937,0.000000,0.045042,0.958560,0.000000
2.280000,0.999285,-0.037839,0.000000,0.032603,0.860989,0.000000
2.290000,0.999559,-0.029718,0.000000,0.022692,0.763225,0.000000
2.300000,0.999746,-0.022575,0.000000,0.015024,0.665326,0.000000
2.310000,0.999866,-0.016411,0.000000,0.009313,0.567338,0.000000
2.320000,0.999938,-0.011228,0.000000,0.005271,0.469294,0.000000
2.330000,0.999976,-0.007026,0.000000,0.002609,0.371219,0.000000
2.340000,0.999994,-0.003804,0.000000,0.001040,0.273127,0.000000
2.350000,1.000000,-0.001563,0.000000,0.000275,0.175029,0.000000
2.360000,1.000001,-0.000303,0.000000,0.000024,0.076930,0.000000
2.370000,1.000001,-0.000024,0.000000,0.000000,-0.021170,0.000000
2.380000,1.000001,-0.000727,0.000000,-0.000086,-0.119270,0.000000
2.390000,0.999998,-0.002410,0.000000,-0.000523,-0.217370,0.000000
2.400000,0.999988,-0.005074,0.000000,-0.001600,-0.315465,0.000000
2.410000,0.999963,-0.008719,0.000000,-0.003605,-0.413551,0.000000
2.420000,0.999912,-0.013345,0.000000,-0.006827,-0.511616,0.000000
2.430000,0.999822,-0.018951,0.000000,-0.011555,-0.609639,0.000000
2.440000,0.999675,-0.025538,0.000000,-0.018075,-0.707593,0.000000
2.450000,0.999453,-0.033103,0.000000,-0.026676,-0.805440,0.000000
2.460000,0.999134,-0.041646,0.000000,-0.037643,-0.903129,0.000000
2.470000,0.998692,-0.051165,0.000000,-0.051261,-1.000595,0.000000
